date,site,depth_range_m,deep_m,shallow_m,divers,bedrock,boulder,cobble,gravel,small_gravel,sand,silt,hard_clay,veg_low,veg_mid,veg_high,clad,veg_cover
7/19/2022,PEP,20,20,20,"MB, SAB, RAL, PB",0,0,0,0,0,10,90,0,A,A,A,A,0
7/20/2022,BLH,5,5,5,MB,0,0,5,0,45,40,10,0,P,A,A,P,1
7/20/2022,BLH,10,10,10,"RAL, PB",0,0,0,0,0,80,20,0,A,A,A,A,0
7/20/2022,BLH,5,5,5,SAB,0,0,0,40,40,15,5,0,P,A,A,A,1
7/20/2022,DAG,5,5,5,MB,0,0,0,0,0,80,20,0,P,P,A,A,1
7/20/2022,DAG,10,10,10,"RAL, PB",0,0,0,0,0,0,100,0,P,A,A,A,1
7/20/2022,DAG,5,5,5,SAB,0,0,0,0,0,80,20,0,P,P,A,A,1
7/20/2022,PEP,5,5,5,MB,25,0,0,0,0,60,15,0,P,P,P,A,1
7/20/2022,PEP,10,10,10,"RAL, PB",0,0,0,5,0,90,5,0,P,A,A,A,1
7/20/2022,PEP,5,5,5,SAB,20,0,0,0,0,60,20,0,P,P,P,A,1
7/20/2022,PYR,10,10,10,MB,0,5,0,0,0,95,0,0,P,A,A,A,1
7/20/2022,PYR,5,5,5,"RAL, PB",0,10,0,0,0,80,10,0,P,P,A,A,1
7/20/2022,PYR,10,10,10,SAB,0,10,5,0,0,75,10,0,P,P,A,A,1
7/20/2022,STS,10,10,10,MB,0,0,0,0,0,0,100,0,P,A,A,P,1
7/20/2022,STS,5,5,5,"RAL, PB",0,0,0,0,0,0,100,0,P,P,P,P,1
7/20/2022,STS,10,10,10,SAB,0,0,0,0,0,0,100,0,P,A,A,P,1
7/20/2022,TAM,10,10,10,MB,0,0,0,0,0,10,90,0,P,P,A,P,1
7/20/2022,TAM,5,5,5,"RAL, PB",0,0,0,0,0,20,80,0,P,P,P,P,1
7/20/2022,TAM,10,10,10,SAB,0,0,0,0,0,10,90,0,P,P,A,P,1
7/21/2022,ABY,10,10,10,"RAL, SAB",1,0,0,0,0,99,0,0,P,A,A,P,1
7/21/2022,ABY,5,5,5,"RAL, SAB",0,70,0,0,10,20,0,0,A,A,A,P,0
7/21/2022,ABY,5-0,5,0,"RAL, SAB",0,40,20,0,10,30,0,0,A,A,A,P,0
7/21/2022,HEK,10,10,10,"PB, SAB",0,0.1,0,0,0,15,85,0,P,A,A,A,1
7/21/2022,HEK,5,5,5,"PB, SAB",0,0,0,0,0,0,100,0,P,A,A,P,1
7/21/2022,HEK,5-0,5,0,RAL,0,25,25,0,10,40,0,0,A,A,A,P,0
7/21/2022,NTS,10,10,10,"PB, SAB",0,0,0,0,0,0,100,0,UNK,UNK,UNK,UNK,UNK
7/21/2022,NTS,5,5,5,"RAL, SAB",0.1,0,0,0,0,0,0,99,P,A,A,P,1
7/21/2022,NTS,5-0,5,0,"RAL, SAB",0.1,0,0,0,0,0,0,99,P,P,A,A,1
7/21/2022,PLQ,10,10,10,"PB, SAB",0,0,0,0,0,0,100,0,P,A,A,P,1
7/21/2022,PLQ,5,5,5,"PB, SAB",0,0,0,0,0,0,100,0,P,P,P,P,1
7/21/2022,PLQ,5-0,5,0,RAL,0,0,0,0,0,20,80,0,P,P,P,P,1
7/21/2022,WARRIOR POINT,5-0,5,0,SAB,10,30,30,10,10,5,5,0,P,P,P,P,1
