date,site,depth_range_m,deep_ft,shallow_ft,deep_m,shallow_m,divers,net_type,net_num,clarity,bedrock,boulder,cobble,gravel,small_gravel,sand,silt,hard_clay,veg_low,veg_mid,veg_high,clad,veg_cover,veg_1,veg_2,veg_3,veg_4,veg_5
6/20/2023,PEP,52-50,52,50,15.8,15.2,MB,CORE,10&20,5.1,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
6/20/2023,PEP,50-45,50,45,15.2,13.7,MB,CORE,10&20,5.1,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
6/20/2023,PEP,45-40,45,40,13.7,12.2,MB,CORE,10&20,5.1,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
6/20/2023,PEP,40-35,40,35,12.2,10.6,MB,CORE,10&20,5.1,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
6/20/2023,PEP,35-30,35,30,10.6,9.1,MB,CORE,10&20,5.1,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
6/20/2023,PEP,30-25,30,25,9.1,7.6,MB,CORE,10&20,5.1,0,0,0,0,0,0,90,10,A,A,A,UNK,0,0,0,0,0,0
6/20/2023,PEP,25-20,25,20,7.6,6.1,MB,CORE,10&20,5.1,0,0,0,0,0,0,10,90,P,A,A,UNK,1,0.2,0.2,0.2,0.2,0.2
6/20/2023,PEP,20-15,20,15,6.1,4.6,MB,CORE,10&20,5.1,0,0,0,0,0,0,20,80,P,A,A,UNK,5,0.5,0.5,0.5,0.5,0.5
6/20/2023,PEP,15-10,15,10,4.6,3.0,MB,CORE,10&20,5.1,0,0,0,0,0,0,40,60,P,A,A,UNK,20,0.3,0.3,0.3,0.3,0.3
6/20/2023,PEP,10-5,10,5,3.0,1.5,MB,CORE,10&20,5.1,0,0,0,0,0,5,15,80,P,A,A,UNK,50,0.1,0.1,0.1,0.3,0.3
6/20/2023,PEP,5-0,5,0,1.5,0.0,MB,CORE,10&20,5.1,0,0,0,0,0,5,5,90,P,A,A,UNK,80,0.3,0.3,0.3,0.3,0.3
6/20/2023,PEP,52-50,52,50,15.8,15.2,SAB,CORE,10&20,5.1,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
6/20/2023,PEP,50-45,50,45,15.2,13.7,SAB,CORE,10&21,5.1,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
6/20/2023,PEP,45-40,45,40,13.7,12.2,SAB,CORE,10&20,5.1,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
6/20/2023,PEP,40-35,40,35,12.2,10.6,SAB,CORE,10&20,5.1,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
6/20/2023,PEP,35-30,35,30,10.6,9.1,SAB,CORE,10&20,5.1,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
6/20/2023,PEP,30-25,30,25,9.1,7.6,SAB,CORE,10&20,5.1,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
6/20/2023,PEP,25-20,25,20,7.6,6.1,SAB,CORE,10&20,5.1,0,0,0,0,0,0,100,0,P,A,A,UNK,1,0.2,0.2,0.2,0.2,0.2
6/20/2023,PEP,20-15,20,15,6.1,4.6,SAB,CORE,10&20,5.1,0,0,0,0,0,30,70,0,P,A,A,UNK,5,0.4,0.4,0.4,0.4,0.4
6/20/2023,PEP,15-10,15,10,4.6,3.0,SAB,CORE,10&20,5.1,0,0,0,0,0,50,50,0,P,A,A,UNK,20,0.7,0.7,0.7,0.7,0.7
6/20/2023,PEP,10-5,10,5,3.0,1.5,SAB,CORE,10&20,5.1,0,0,0,0,0,50,50,0,P,A,A,UNK,40,0.5,0.5,0.5,0.5,0.5
6/20/2023,PEP,63-60,63,60,19.2,18.2,MB,EXP,1-12,5.1,5,0,0,0,0,0,95,0,A,A,A,A,0,0,0,0,0,0
6/20/2023,PEP,60-55,60,55,18.2,16.7,MB,EXP,1-12,5.1,0,0,0,0,0,0,100,0,A,A,A,A,0,0,0,0,0,0
